Title,Author,Publisher,Subjects,item_id,Subjects_list
ouvrons les yeux voyage esthétique à travers la suisse,fatio guillaume,atar,architecture suisse11e s 19e s; architecture rurale suisse,2730,"['architecture suisse11e s 19e s', ' architecture rurale suisse']"
deux siècles et demi de francmaçonnerie en suisse et dans le pays de neuchâtel,cugnet michel,typoffset dynamic; ed du chevron,francmaçonneriesuisse1736 1990; francmaçonnerieneuchâtel suisse canton1743 1990,2731,"['francmaçonneriesuisse1736 1990', ' francmaçonnerieneuchâtel suisse canton1743 1990']"
la belle époque de larchitecture,unknown author,cl presses centrales; association edimento pour le patrimoine,architecturevaud suissehistoire,2732,['architecturevaud suissehistoire']
croatie mostar et kotor 20222023,unknown author,hachette tourisme,croatie; guides touristiques et de visite,2733,"['croatie', ' guides touristiques et de visite']"
croatie,dragicevich peter,lonely planet,croatie; guides touristiques et de visite; guides touristiques et de visitecroatie,2734,"['croatie', ' guides touristiques et de visite', ' guides touristiques et de visitecroatie']"
ici lunivers voyages en astrophysique,herji,helvetiq,astrophysique; astrophysiciens; bandes dessinées documentaires; astronomical phenomena; comic book,2735,"['astrophysique', ' astrophysiciens', ' bandes dessinées documentaires', ' astronomical phenomena', ' comic book']"
toscane nos villes préférées en ombrie 20232024,unknown author,hachette tourisme,toscane italie; ombrie italie; guides touristiques et de visite,2736,"['toscane italie', ' ombrie italie', ' guides touristiques et de visite']"
les plus belles escapades en europe randonnées escalade canyoning baignades ski de fond via ferrata tyrolienne,unknown author,larousse,loisirs de plein aireurope,2737,['loisirs de plein aireurope']
bienvenue en adolescence,zep 1967,glénat,bandes dessinées humoristiques; adolescence; bandes dessinées,2738,"['bandes dessinées humoristiques', ' adolescence', ' bandes dessinées']"
culottées des femmes qui ne font que ce quelles veulent,bagieu pénélope,gallimard bande dessinée,féminisme; femmesconditions sociales; femmes; biographie; ouvrages pour la jeunesse; bandes dessinées documentaires,2739,"['féminisme', ' femmesconditions sociales', ' femmes', ' biographie', ' ouvrages pour la jeunesse', ' bandes dessinées documentaires']"
comprendre et pratiquer lapproche narrative concepts fondamentaux et cas expliques,unknown author,intereditions,thérapie narrative,2740,['thérapie narrative']
manuel de diagnostics infirmiers,carpenitomoyet lynda juall,elsevier masson,nursing diagnosis; nursing care; diagnostic infirmier; soins infirmiers,2741,"['nursing diagnosis', ' nursing care', ' diagnostic infirmier', ' soins infirmiers']"
diagnostics infirmiers définitions et classification 20212023,unknown author,elsevier masson,nursing care; nursing diagnosis; standardized nursing terminology; diagnostic infirmier; terminology,2742,"['nursing care', ' nursing diagnosis', ' standardized nursing terminology', ' diagnostic infirmier', ' terminology']"
classification des interventions de soins infirmiers cisinic,unknown author,elsevier masson,nursing processclassification; classificationdiagnostic infirmiersoins infirmiers techniquemanuel,2743,"['nursing processclassification', ' classificationdiagnostic infirmiersoins infirmiers techniquemanuel']"
manuel de diagnostics infirmiers,carpenitomoyet lynda juall,elsevier masson,diagnostic infirmier; soins infirmiers,2744,"['diagnostic infirmier', ' soins infirmiers']"
classification des résultats de soins infirmiers crsi noc mesure des résultats de santé,unknown author,elsevier masson,classification; soins infirmiers; diagnostic infirmier,2745,"['classification', ' soins infirmiers', ' diagnostic infirmier']"
autoefficacite comment le sentiment defficacite personnelle influence notre qualite de vie,bandura albert,de boeck superieur,autoefficacité; confiance en soi; personnalité et situation; autoefficacite; confiance,2746,"['autoefficacité', ' confiance en soi', ' personnalité et situation', ' autoefficacite', ' confiance']"
quand mozart traversait la suisse un tableau historique culturel et musical richement illustré en complément autres liens des mozart avec quelques suisses 1820 le séjour suisse du fils de wolfgang les séjours zurichois daloysia lange bellesœur de wolfgang,spalinger rené,editions slatkine,mozartfamilledescriptions et voyagessuisse18e siècle,2747,['mozartfamilledescriptions et voyagessuisse18e siècle']
une disparition conte nippon,bernard daniel,editions favre,unknown subjects,2748,['unknown subjects']
la seconde femme ce que les actrices font à la vieillesse,joudet murielle,premier parallèle,femmesau cinéma; corps humainau cinéma; vieillissementau cinéma; vieillesseau cinéma; cinémathèmes motifs; actrices de cinéma,2749,"['femmesau cinéma', ' corps humainau cinéma', ' vieillissementau cinéma', ' vieillesseau cinéma', ' cinémathèmes motifs', ' actrices de cinéma']"
blanc,tesson sylvain 1972,gallimard,recits de voyages francais,2750,['recits de voyages francais']
les musées de paris visites découvertes,barozzi jacques,indispensable,muséesparis france; guides touristiques et de visite,2751,"['muséesparis france', ' guides touristiques et de visite']"
un noël avec winston,desarzens corinne,la baconnière,churchill winston,2752,['churchill winston']
la route pour la servitude russie europe amérique,snyder timothy,gallimard,occidentpopulisme2000; fascisme2000,2753,"['occidentpopulisme2000', ' fascisme2000']"
lespion qui aimait les livres roman,le carré john 19312020,editions du seuil,unknown subjects,2754,['unknown subjects']
passé sous silence roman,bovard jacquesetienne,bernard campiche,littérature suisse de langue française; roman,2755,"['littérature suisse de langue française', ' roman']"
le soleil rouge de lassam,mukherjee abir 1974,liana levi,roman anglais; roman policier,2756,"['roman anglais', ' roman policier']"
néandertal nu comprendre la créature humaine,slimak ludovic,odile jacob,néandertaliens,2757,['néandertaliens']
remède de cheval roman,beaton mc,albin michel,unknown subjects,2758,['unknown subjects']
le cirque,karlsson jonas,actes sud,unknown subjects,2759,['unknown subjects']
la petite maison illustrée de dessins et dornements dans le goût du temps,bastide jeanfrançois de 17241798,presse inverses,unknown subjects,2760,['unknown subjects']
une écharpe dans la neige roman,sten viveca bergstedt 1959,albin michel,roman policier; roman suédois,2761,"['roman policier', ' roman suédois']"
tenir sa langue,panassenko polina 1989,editions de lolivier,roman français,2762,['roman français']
fusil roman,cornuz odile,editions den bas,violence familiale; roman suisse de langue française,2763,"['violence familiale', ' roman suisse de langue française']"
le livre des sœurs roman,nothomb amélie 1966,albin michel,relations entre soeurs; roman belge de langue française,2764,"['relations entre soeurs', ' roman belge de langue française']"
les lunettes de sommeil roman,guillet raphaël,favre,roman policier suisse de langue française,2765,['roman policier suisse de langue française']
47 allée du lac,james peter 1948,fleuve noir,thriller roman,2766,['thriller roman']
odette et le taxi jaune roman,artus isabelle,charleston,unknown subjects,2767,['unknown subjects']
lassassin augmenté,jacq christian 1947,xo editions; j éd,unknown subjects,2768,['unknown subjects']
lilas et julie détectives,chappuis bernard,editions socialinfo,unknown subjects,2769,['unknown subjects']
histoire du repos,corbin alain,plon,reposhistoire,2770,['reposhistoire']
les malvenus,brière audrey,seuil,roman policier français,2771,['roman policier français']
jeu sur tambours et tambourins suivi de larmoire et autres nouvelles,tokarczuk olga,editions noir sur blanc,unknown subjects,2772,['unknown subjects']
portrait dune inconnue,silva daniel,harpercollins france,unknown subjects,2773,['unknown subjects']
au service secret de marieantoinette,lenormand frédéric,la martinière,unknown subjects,2774,['unknown subjects']
w ou le souvenir denfance,perec georges 19361982,denoël,unknown subjects,2775,['unknown subjects']
la dame à la licorne,jacq christian 1947,christian jacq,unknown subjects,2776,['unknown subjects']
frères,jardin alexandre,albin michel,récits personnels; deuil; parents et enfants; frères,2777,"['récits personnels', ' deuil', ' parents et enfants', ' frères']"
tu la retrouveras roman,hatzfeld jean,gallimard,unknown subjects,2778,['unknown subjects']
bienvenue à lhôtel savoy,emery prudence 1936,la martinière,roman policier,2779,['roman policier']
du sang dans leau salée polar,jauneau nelly,nouveaux auteurs,unknown subjects,2780,['unknown subjects']
les alchimies roman,chiche sarah,seuil,unknown subjects,2781,['unknown subjects']
un simple dîner roman,tlili cécile 19,calmannlévy,roman,2782,['roman']
une vérité changeante,carofiglio gianrico 1961,slatkine,unknown subjects,2783,['unknown subjects']
angle mort ; suivi de marian,hawkins paula,sonatine,roman anglais; thriller roman,2784,"['roman anglais', ' thriller roman']"
rouge,edwardsdujardin hayley,chêne,couleurs; rougedans lart,2785,"['couleurs', ' rougedans lart']"
100 idées pour accompagner les enfants à haut potentiel changeons notre regard sur ces enfants à besoins spécifiques afin de favoriser leur épanouissement,revol olivier,tom pousse,enfants surdouéséducation; enfants surdouéspsychologie,2786,"['enfants surdouéséducation', ' enfants surdouéspsychologie']"
verte,desplechin marie,rue de sèvres,sorcières; bandes dessinées,2787,"['sorcières', ' bandes dessinées']"
tous superhéros,thuram lilian,delcourt,discrimination; préjugés; droits de lhomme; solidarité; racisme; bandes dessinées; ouvrages pour la jeunesse,2788,"['discrimination', ' préjugés', ' droits de lhomme', ' solidarité', ' racisme', ' bandes dessinées', ' ouvrages pour la jeunesse']"
lhistoire perdue,martí meritxell,seuil jeunesse,histoire; livres pour enfants; création littéraire; livres dimages,2789,"['histoire', ' livres pour enfants', ' création littéraire', ' livres dimages']"
sur les chemins noirs,tesson sylvain 1972,gallimard,randonnée pédestre,2790,['randonnée pédestre']
on mange quoi ce soir spécial kids 80 recettes à faire avec les enfants et les petites leçons qui vont avec,gabet sylvia,la martinière,cuisineenfants; ouvrages pour la jeunesse; guides pratiques,2791,"['cuisineenfants', ' ouvrages pour la jeunesse', ' guides pratiques']"
je nai pas fait mes devoirs parce que,cali davide,hélium,devoirs à la maison; ouvrages pour la jeunesse,2792,"['devoirs à la maison', ' ouvrages pour la jeunesse']"
enquête dexoplanètes,lavie baptiste,lagora dhypatie,astronomie; exoplanètes; bandes dessinées documentaires,2793,"['astronomie', ' exoplanètes', ' bandes dessinées documentaires']"
from hell une autopsie de jack léventreur,moore alan 1953,delcourt,bandes dessinées,2794,['bandes dessinées']
mes leçons de français cm1 cm2 6e 50 cartes mentales pour comprendre facilement la grammaire lorthographe et la conjugaison,eleaumelachaud stéphanie,eyrolles,grammaire française; orthographe française; conjugaison française; cartes heuristiques,2795,"['grammaire française', ' orthographe française', ' conjugaison française', ' cartes heuristiques']"
conjudingo ce2 3 jeux de conjugaison bataille mistigri rami,lagoda patingre claire,cocktail games,conjugaisonjeux éducatifs; français languejeux éducatifs,2796,"['conjugaisonjeux éducatifs', ' français languejeux éducatifs']"
conjudingo cm1cm2 3 jeux de conjugaison bataille mistigri rami,lagoda patingre claire,aritma; cocktail games,français langueconjugaison; jeux éducatifs,2797,"['français langueconjugaison', ' jeux éducatifs']"
la tresse roman,colombani laetitia,bernard grasset,roman français; femmes et mort; roman,2798,"['roman français', ' femmes et mort', ' roman']"
voyages zéro carbone ou presque 80 itinéraires clés en main sans avion ni voiture en europe et audelà,adagio angélique,lonely planet,voyages en train; voyages autour du monde; tourismeaspect environnemental; voyages; écotourisme; guides touristiques et de visite,2799,"['voyages en train', ' voyages autour du monde', ' tourismeaspect environnemental', ' voyages', ' écotourisme', ' guides touristiques et de visite']"
prévenir et gérer lindiscipline dans les classes primaires et secondaires,richoz jeanclaude,favre,relations maîtreélève; discipline scolaire; classes éducationconduite; enfants difficileséducation; autorité psychologie,2800,"['relations maîtreélève', ' discipline scolaire', ' classes éducationconduite', ' enfants difficileséducation', ' autorité psychologie']"
lévaluation formative comment évaluer pour remédier aux difficultés dapprentissage,talbot laurent,a colin,apprentissage psychologieélève évaluationenseignement; évaluation pédagogique,2801,"['apprentissage psychologieélève évaluationenseignement', ' évaluation pédagogique']"
le grand incident,zelba 1973,louvre éditions; futuropolis,bandes dessinées,2802,['bandes dessinées']
latin forum 9e,unknown author,etat de vaud djfdgeo,latin langue; civilisation antique; manuels denseignement secondaire,2803,"['latin langue', ' civilisation antique', ' manuels denseignement secondaire']"
eurêka 9s option spécifique mathématiques et physique,cibert prodhom sandra,dgeo dir générale de lenseignement obligatoire,mathématiques; physique; manuels denseignement secondaire; problèmes et exercices; manuels denseignement,2804,"['mathématiques', ' physique', ' manuels denseignement secondaire', ' problèmes et exercices', ' manuels denseignement']"
français grammaire texte et langue aidemémoire savoirs grammaticaux et ressources théoriques pour les élèves du cycle 2,aubert florence,ciip conférence intercantonale de linstruction publique de la suisse romande et du tessin,français langue; grammaire; enseignement primaire; grammaire françaisemanuels denseignement; manuels denseignement primaire,2805,"['français langue', ' grammaire', ' enseignement primaire', ' grammaire françaisemanuels denseignement', ' manuels denseignement primaire']"
les anges noirs,lanza christian,favre,unknown subjects,2806,['unknown subjects']
leçons de bonheur exercices philosophiques pour bien conduire sa vie,gaspari ilaria 1986,puf,modes de vie; bonheur philosophie; présocratiques; stoïcisme; scepticisme philosophie grecque,2807,"['modes de vie', ' bonheur philosophie', ' présocratiques', ' stoïcisme', ' scepticisme philosophie grecque']"
le feuilleton dhermès la mythologie grecque en cent épisodes,szac murielle,bayard jeunesse,mythologie grecque; ouvrages pour la jeunesse,2808,"['mythologie grecque', ' ouvrages pour la jeunesse']"
le guide des randos au fil de leau,unknown author,generalmedia,randonnée pédestresuisse; familleloisirssuisse romande; guides touristiques et de visite,2809,"['randonnée pédestresuisse', ' familleloisirssuisse romande', ' guides touristiques et de visite']"
pourquoi nous mangeons ce que nous mangeons notre relation aux aliments expliquée par la science,herz rachel,quanto,feeding behavior; nutritional requirements; food industrymethods; directtoconsumer advertising; marketing; comportement alimentairepsychologie; besoins alimentaires,2810,"['feeding behavior', ' nutritional requirements', ' food industrymethods', ' directtoconsumer advertising', ' marketing', ' comportement alimentairepsychologie', ' besoins alimentaires']"
le goût de lobservation comprendre et pratiquer lobservation participante en sciences sociales,peneff jean,la découverte,observation participante sciences sociales; observation participantesociologie; observation participante; sciences socialesméthodologie,2811,"['observation participante sciences sociales', ' observation participantesociologie', ' observation participante', ' sciences socialesméthodologie']"
la fabrique de lethnographe dans les rouages du travail organisé,buscatto marie,octarès,observation méthoderecherche sur le terraintravail ethnologie; organisation structuretravail ethnologie,2812,"['observation méthoderecherche sur le terraintravail ethnologie', ' organisation structuretravail ethnologie']"
the oxford handbook of sound studies,unknown author,oxford univ press,musique; son; sons; bruit,2813,"['musique', ' son', ' sons', ' bruit']"
la santé et la famille une approche systémique en soins infirmiers,unknown author,chenelière education,famille; santé; soins infirmiers; systèmes analyse de; family health; nursing carepsychology; nursepatient relations; manuels denseignement supérieur,2814,"['famille', ' santé', ' soins infirmiers', ' systèmes analyse de', ' family health', ' nursing carepsychology', ' nursepatient relations', ' manuels denseignement supérieur']"
modèle mcgill une approche collaborative en soins infirmiers,paquettedesjardins danièle,chenelière,soins infirmiers; models nursing; nursepatient relations; nursing theory; manuels denseignement supérieur,2815,"['soins infirmiers', ' models nursing', ' nursepatient relations', ' nursing theory', ' manuels denseignement supérieur']"
vademecum de pédiatrie,unknown author,babyguide,pédiatrie; pediatrics; handbook,2816,"['pédiatrie', ' pediatrics', ' handbook']"
guide pratique du diabète,hartemannheurtier agnès,elsevier masson,diabètesdiétothérapierecommandations pour la pratique clinique; diabètesrecommandations pour la pratique clinique; diabètescomplications médecine; diabètescomplications médecinerecommandations pour la pratique clinique; diabètes,2817,"['diabètesdiétothérapierecommandations pour la pratique clinique', ' diabètesrecommandations pour la pratique clinique', ' diabètescomplications médecine', ' diabètescomplications médecinerecommandations pour la pratique clinique', ' diabètes']"
mieux vivre avec un diabète,slama gérard,o jacob,diabètes; modes de vie; vie pratique; qualité de la vie,2818,"['diabètes', ' modes de vie', ' vie pratique', ' qualité de la vie']"
la sclérose en plaques historique épidémiologie et pathogénie,unknown author,elsevier masson,soins médicaux; sclérose en plaquesépidémiologie; sclérose en plaquesdiagnostic; sclérose en plaquesthérapeutique; sclérose en plaqueshistoire,2819,"['soins médicaux', ' sclérose en plaquesépidémiologie', ' sclérose en plaquesdiagnostic', ' sclérose en plaquesthérapeutique', ' sclérose en plaqueshistoire']"
soins infirmiers médecine et chirurgie,brunner lillian sholtis,de boeck université,soins infirmiersmanuel; nursing care; perioperative nursing; soins infirmiers; chirurgie; manuels denseignement supérieur; problèmes et exercices,2820,"['soins infirmiersmanuel', ' nursing care', ' perioperative nursing', ' soins infirmiers', ' chirurgie', ' manuels denseignement supérieur', ' problèmes et exercices']"
le développement de ladolescent ladolescent à la recherche de son identité,cannard christine,de boeck supérieur,psychologie du développement; adolescentspsychologie,2821,"['psychologie du développement', ' adolescentspsychologie']"
pathologies neurologiques ue 44 et 211,prudhomme christophe médecin 1960,maloine,neurologiesoins infirmiersmanuel,2822,['neurologiesoins infirmiersmanuel']
manuel de soins palliatifs,unknown author,dunod,soins palliatifs; palliative care; terminal care,2823,"['soins palliatifs', ' palliative care', ' terminal care']"
soins palliatifs,unknown author,dunod,palliative care; terminal care; soins palliatifs; fin de vie,2824,"['palliative care', ' terminal care', ' soins palliatifs', ' fin de vie']"
canaries,montagnon denis,hachette tourisme,canaries espagne; guides touristiques et de visite,2825,"['canaries espagne', ' guides touristiques et de visite']"
canaries randonnées et plongées 20232024,unknown author,hachette tourisme,canaries espagne; guides touristiques et de visite,2826,"['canaries espagne', ' guides touristiques et de visite']"
baléares,grassin coralie,hachette tourisme,baléares espagne; guides touristiques et de visite,2827,"['baléares espagne', ' guides touristiques et de visite']"
art brut le guide,delavaux céline,flammarion,art brut,2828,['art brut']
lart brut,peiry lucienne,flammarion,art brut,2829,['art brut']
undoing race la racialisation en suisse,unknown author,seismo,lutte contre le racisme; racehistoiresuisse; racismesuisse,2830,"['lutte contre le racisme', ' racehistoiresuisse', ' racismesuisse']"
les pedagogies critiques,unknown author,fondation copernic; agone,pédagogie critique; sexisme en éducation; éducation populaire,2831,"['pédagogie critique', ' sexisme en éducation', ' éducation populaire']"
réflexions sur luniversité suivies dun entretien inédit,chomsky noam,raisons dagir éd,enseignement supérieur philosophieétudes diverses; université philosophieétudes diverses; universitéetatsunisétudes diverses,2832,"['enseignement supérieur philosophieétudes diverses', ' université philosophieétudes diverses', ' universitéetatsunisétudes diverses']"
psychologies pour la formation,unknown author,dunod,psychologues1800; formation continue; éducation des adultesaspect psychologique; psychologie de léducationrecherchehistoire; éducation des adultesrecherchehistoire; sciences de léducation,2833,"['psychologues1800', ' formation continue', ' éducation des adultesaspect psychologique', ' psychologie de léducationrecherchehistoire', ' éducation des adultesrecherchehistoire', ' sciences de léducation']"
je rêve de dormir laissezvous guider dans lunivers du sommeil,habarubio josé,favre,sleepphysiology; sleep wake disorders; sleep initiation and maintenance disorders; troubles du sommeil; sommeilphysiologie,2834,"['sleepphysiology', ' sleep wake disorders', ' sleep initiation and maintenance disorders', ' troubles du sommeil', ' sommeilphysiologie']"
le sommeil,gordon elisabeth,médecine hygiène,sleep wake disorders; sleep; sommeil; insomnie; syndromes des apnées du sommeil; hypersomnie; practice guideline,2835,"['sleep wake disorders', ' sleep', ' sommeil', ' insomnie', ' syndromes des apnées du sommeil', ' hypersomnie', ' practice guideline']"
la mémoire et ses troubles,grimaldi laetitia,médecine et hygiène,memory disorders; mémoire; troubles de la mémoire; handbook,2836,"['memory disorders', ' mémoire', ' troubles de la mémoire', ' handbook']"
stéréotypes préjugés et discrimination,légal jeanbaptiste,dunod,psychologie; psychologie sociale; discrimination; stéréotype psychologie; préjugés,2837,"['psychologie', ' psychologie sociale', ' discrimination', ' stéréotype psychologie', ' préjugés']"
scarlett et novak,damasio alain,rageot,sciencefiction,2838,['sciencefiction']
les grands généraux de rome et les autres,le bohec yann,tallandier,histoire militairerome; générauxrome; romearméeofficiers; generalsromehistory; romehistory military,2839,"['histoire militairerome', ' générauxrome', ' romearméeofficiers', ' generalsromehistory', ' romehistory military']"
more than men less than gods studies on royal cult and imperial workship proceedings of the international colloquium organized by the belgian school at athens november 12 2007,unknown author,peeters,empereur culteméditerranée bassin estépoque des conquêtes romainescongrès; roi culteméditerranée bassin estépoque archaïque grecque époque hellénistiquecongrès; divinitéempereurméditerranée bassin estépoque des conquêtes romainescongrès; divinitéroiméditerranée bassin estépoque archaïque grecque époque hellénistiquecongrès,2840,"['empereur culteméditerranée bassin estépoque des conquêtes romainescongrès', ' roi culteméditerranée bassin estépoque archaïque grecque époque hellénistiquecongrès', ' divinitéempereurméditerranée bassin estépoque des conquêtes romainescongrès', ' divinitéroiméditerranée bassin estépoque archaïque grecque époque hellénistiquecongrès']"
maladies des femmes,soranus ephesius,les belles lettres,unknown subjects,2841,['unknown subjects']
claude lyon 10 avant jc rome 54 après jc un empereur au destin singulier,unknown author,lienart,claudeempereur romain; claudiusemperor of rome10 bc54 adexhibitions; romehistoryclaudius 4154exhibitions; romeantiquitiesexhibitions; catalogues dexposition,2842,"['claudeempereur romain', ' claudiusemperor of rome10 bc54 adexhibitions', ' romehistoryclaudius 4154exhibitions', ' romeantiquitiesexhibitions', ' catalogues dexposition']"
a companion to the reformation in geneva,unknown author,brill,16001699; réformegenève suisse canton; reformation; reformed church; reformationswitzerlandgeneva; reformed churchswitzerlandgeneva; switzerlandgeneva; geneva switzerlandchurch history17th century; church history,2843,"['16001699', ' réformegenève suisse canton', ' reformation', ' reformed church', ' reformationswitzerlandgeneva', ' reformed churchswitzerlandgeneva', ' switzerlandgeneva', ' geneva switzerlandchurch history17th century', ' church history']"
loccident médiéval dalaric à léonard 4001450,chandelier joël,belin,réforme grégorienne; investitures querelle des; carolingiensdynastie; barbares; christianismemoyen âge; féodalité; papauté; chevaliers; paysanneriemoyen âge; villes médiévales; croisades; peste noire; moyen âgeoccident; royaume franc,2844,"['réforme grégorienne', ' investitures querelle des', ' carolingiensdynastie', ' barbares', ' christianismemoyen âge', ' féodalité', ' papauté', ' chevaliers', ' paysanneriemoyen âge', ' villes médiévales', ' croisades', ' peste noire', ' moyen âgeoccident', ' royaume franc']"
economie et refuge à genève au siècle de la réforme la draperie et la soierie 15401630,mottuweber liliane,champion; droz,draperiegenève suisse ville1540 1630; industriesoiegenève suisse ville1540 1630; économiegenève suisse canton1540 1630; économieeglise du refugeprotestant françaisgenève suisse canton1540 1630,2845,"['draperiegenève suisse ville1540 1630', ' industriesoiegenève suisse ville1540 1630', ' économiegenève suisse canton1540 1630', ' économieeglise du refugeprotestant françaisgenève suisse canton1540 1630']"
la visite des églises du diocèse de lausanne en 1453,unknown author,société dhistoire de la suisse romande,geschichte; schweizergeschichte; kirchengeschichte; bistum; 15 jahrhundert; lausanne suisse diocèse vd1453; schweiz; waadt; lausanne,2846,"['geschichte', ' schweizergeschichte', ' kirchengeschichte', ' bistum', ' 15 jahrhundert', ' lausanne suisse diocèse vd1453', ' schweiz', ' waadt', ' lausanne']"
réformes religieuses en pays de vaud ruptures continuités et résistances m xvem xvie siècle,unknown author,svha société vaudoise dhistoire et darchéologie; ed antipodes,réformesuissevaud suisse16e siècle; réformesuissevaud suisse15e siècle; réforme religieusevaud suisse15e s 16e sétudes diverses,2847,"['réformesuissevaud suisse16e siècle', ' réformesuissevaud suisse15e siècle', ' réforme religieusevaud suisse15e s 16e sétudes diverses']"
la conquête du pays de vaud par les bernois,gilliard charles 18791944,ed la concorde,geschichte; schweizergeschichte; kantonales recht; berne suisse cantonvaud suisse1536; schweiz; waadt,2848,"['geschichte', ' schweizergeschichte', ' kantonales recht', ' berne suisse cantonvaud suisse1536', ' schweiz', ' waadt']"
histoire de la france religieuse xivexviiie siècle par jacques chiffoleau et al ; vol dir par françois lebrun,unknown author,seuil,religionfrance14e s 18e s; vie religieusefrance14e s 18e s; christianismefrance14e s 18e s,2849,"['religionfrance14e s 18e s', ' vie religieusefrance14e s 18e s', ' christianismefrance14e s 18e s']"
faire de lhistoire,unknown author,gallimard,connaissancehistoire disciplineétudes diverses; histoire discipline méthodologieétudes diverses,2850,"['connaissancehistoire disciplineétudes diverses', ' histoire discipline méthodologieétudes diverses']"
linvention de dieu,römer thomas c 1955,seuil,bible at; dieu; monothéisme,2851,"['bible at', ' dieu', ' monothéisme']"
côté chaire côté rue limpact de la réforme sur la vie quotidienne à genève 15171617,unknown author,la baconnière,réformegenève suisse canton; sociologie du quotidiengenève suisse canton16e siècle,2852,"['réformegenève suisse canton', ' sociologie du quotidiengenève suisse canton16e siècle']"
grammaire syriaque,costaz louis,impr catholique,grammairesyriaque languemanuel,2853,['grammairesyriaque languemanuel']
le débat entre protestants et catholiques français de 1598 à 1685,solé jacques,aux amateurs de livres; atelier national de reproduction des thèses,catholicismeprotestantismefrance1598 1685,2854,['catholicismeprotestantismefrance1598 1685']
the hybrid reformation a social cultural and intellectual history of contending forces,ocker christopher,cambridge university press,disputations religieuseseurope16e siècle; réforme protestante; protestantsvie intellectuelleeurope16e siècle; catholiquesvie intellectuelleeurope16e siècle; reformation; religious disputationshistory16th centuryeurope; protestantsintellectual life16th centuryeurope; catholicsintellectual life16th centuryeurope; europereligion16th century; europereligious life and customs,2855,"['disputations religieuseseurope16e siècle', ' réforme protestante', ' protestantsvie intellectuelleeurope16e siècle', ' catholiquesvie intellectuelleeurope16e siècle', ' reformation', ' religious disputationshistory16th centuryeurope', ' protestantsintellectual life16th centuryeurope', ' catholicsintellectual life16th centuryeurope', ' europereligion16th century', ' europereligious life and customs']"
langage et pouvoir symbolique,bourdieu pierre,ed du seuil,langage sociologie politique; discours linguistique sociologie politique,2856,"['langage sociologie politique', ' discours linguistique sociologie politique']"
homo academicus,bourdieu pierre,ed de minuit,intellectuelpouvoiruniversitéfrance; pouvoiruniversitairefrance,2857,"['intellectuelpouvoiruniversitéfrance', ' pouvoiruniversitairefrance']"
le sens pratique,bourdieu pierre,ed de minuit,objectivitésciences sociales méthodologie; capital symboliquehabitus sociologiepratique sociale; kabyle peuplemaisonmariagesystème de parenté,2858,"['objectivitésciences sociales méthodologie', ' capital symboliquehabitus sociologiepratique sociale', ' kabyle peuplemaisonmariagesystème de parenté']"
la distinction critique sociale du jugement,bourdieu pierre,editions de minuit,classe socialegoût esthétiquefrance; classe socialejugement esthétiquefrance,2859,"['classe socialegoût esthétiquefrance', ' classe socialejugement esthétiquefrance']"
la religion flamboyante france 13201520,chiffoleau jacques,points,vie religieusefrance1320 1520; religionfrance1320 1520,2860,"['vie religieusefrance1320 1520', ' religionfrance1320 1520']"
la comptabilité de laudelà les hommes la mort et la religion dans la région davignon à la fin du moyen âge vers 1320 vers 1480,chiffoleau jacques,albin michel,christianismemortvie quotidienneavignon france régionmoyenâge bas14e s 15e s; âmeaudelàmortsalut théologieavignon france régionmoyenâge bas14e s 15e s,2861,"['christianismemortvie quotidienneavignon france régionmoyenâge bas14e s 15e s', ' âmeaudelàmortsalut théologieavignon france régionmoyenâge bas14e s 15e s']"
les trophées sacrés ou missions des capucins en savoie dans lain la suisse romande et la vallée daoste à la fin du xvie et au xviie siècle,charles de genève,impr réunies; éditeur non identifié,capucins16e s 17e sdocument; geschichte; kirchengeschichte; kapuziner; 16 jahrhundert; 17 jahrhundert; schweiz,2862,"['capucins16e s 17e sdocument', ' geschichte', ' kirchengeschichte', ' kapuziner', ' 16 jahrhundert', ' 17 jahrhundert', ' schweiz']"
léglise et limprimerie dans les anciens diocèses de lausanne et de genève jusquen 1525,besson marius 18761945,jacquemoud,imprimerielausanne suisse vd15e s fin 1525; livregenève suisse ville15e s fin 1525; livrefribourg suisse canton15e s fin 1525,2863,"['imprimerielausanne suisse vd15e s fin 1525', ' livregenève suisse ville15e s fin 1525', ' livrefribourg suisse canton15e s fin 1525']"
le pays de vaud des origines à la conquête bernoise,paquier richard,ed de laire,vaud suisseorigines 1536,2864,['vaud suisseorigines 1536']
les temples vaudois larchitecture réformée dans le pays de vaud 15361798,grandjean marcel 1930,bibliothèque historique vaudoise,église protestante bâtimentvaud suisse1536 1798,2865,['église protestante bâtimentvaud suisse1536 1798']
les protestants a lepoque moderne une approche anthropologique,unknown author,presses universitaires de rennes,reformation; protestantseuropesocial life and customs; protestantismeuropehistory; réforme; églisehistoireeurope; protestantismehistoireeurope; protestantseuropemoeurs et coutumes; europechurch history,2866,"['reformation', ' protestantseuropesocial life and customs', ' protestantismeuropehistory', ' réforme', ' églisehistoireeurope', ' protestantismehistoireeurope', ' protestantseuropemoeurs et coutumes', ' europechurch history']"
essai sur le don forme et raison de léchange dans les sociétés archaïques,mauss marcel,puf,don; don et contredon; société primitive; ethnologie,2867,"['don', ' don et contredon', ' société primitive', ' ethnologie']"
